symbol,name,reason
ضوتعاون901,اختيارخ وتعاون-1400-14040930,[sector] نوع صنعت نامعتبر
طمخا9008,اختيارف اخابر-500-1404/09/19,[sector] نوع صنعت نامعتبر
زرفام,صندوق س.پشتوانه طلا زرفام آشنا,[warrant_rights] د
طتوان1231,اختيارف توان-30000-14041224,[sector] نوع صنعت نامعتبر
عغدير3,سلف موازي غدير ايرانيان,[warrant_rights] د
طموج911,اختيارف موج-22000-14040923,[sector] نوع صنعت نامعتبر
مشهد52,مشاركت ش مشهد52-3ماهه18%,[warrant_rights] د
ميدكو,توسعه معادن وص.معدني خاورميانه,[warrant_rights] د
طخود0145,اختيارف خودرو-380-1405/01/11,[warrant_rights] د
طسپا1141,اختيارف خساپا-650-1404/11/29,[sector] نوع صنعت نامعتبر
واتي,سرمايه‌ گذاري‌ آتيه‌ دماوند,[warrant_rights] د
صنوآور64,صكوك اجاره فناپ64-3ماهه23%,[sector] نوع صنعت نامعتبر
غشهداب,كشت و صنعت شهداب ناب خراسان,[warrant_rights] د
طموج1031,اختيارف موج-20000-14041021,[sector] نوع صنعت نامعتبر
ضخود1154,اختيارخ خودرو-600-1404/11/01,[warrant_rights] د
طفلا1411,اختيارف فولاد-3500-1404/11/08,[warrant_rights] د
خنور,نورايستا پلاستيك,[sector] نوع صنعت نامعتبر
ضتوان1228,اختيارخ توان-24000-14041224,[sector] نوع صنعت نامعتبر
ضذوب1142,اختيارخ ذوب-320-1404/11/21,[sector] نوع صنعت نامعتبر
طصاد1170,اختيارف وبصادر-750-1404/11/21,[warrant_rights] د
اراد2144,مرابحه عام دولت214-ش.خ061120,[warrant_rights] د
طملي0125,اختيارف فملي-7000-1405/01/11,[sector] نوع صنعت نامعتبر
طستا0135,اختيارف شستا-1200-1405/01/11,[sector] نوع صنعت نامعتبر
كاشانه,ص.س املاك وم.كاشانه خليج فارس,[sector] نوع صنعت نامعتبر
ضكاريس1009,اختيارخ كاريس-40000-14041015,[sector] نوع صنعت نامعتبر
قاسم,قاسم ايران,[sector] نوع صنعت نامعتبر
پلاست,كارخانجات توليدي پلاستيران,[warrant_rights] د
درسا,صندوق سرمايه گذاري درسا - سهام,[warrant_rights] د
طذوب1145,اختيارف ذوب-380-1404/11/21,[sector] نوع صنعت نامعتبر
طهرم0131,اختيارف اهرم-26000-1405/01/26,[sector] نوع صنعت نامعتبر
سفاسي,شركت فارسيت اهواز,[sector] نوع صنعت نامعتبر
ساربيل,سيمان آرتا اردبيل,[warrant_rights] د
ضملت1001,اختيارخ وبملت-650-1404/10/17,[sector] نوع صنعت نامعتبر
ضوتعاون1101,اختيارخ وتعاون-1400-14041126,[sector] نوع صنعت نامعتبر
طفزر1002,اختيارف فزر-48000-14041007,[sector] نوع صنعت نامعتبر
ضملت1188,اختيارخ وبملت-1500-1404/11/21,[sector] نوع صنعت نامعتبر
ضپناه908,اختيارخ پناه-17000-14040923,[sector] نوع صنعت نامعتبر
اراد2174,مرابحه دولت عام217-ش.خ.070228,[warrant_rights] د
ضپناه905,اختيارخ پناه-14000-14040923,[sector] نوع صنعت نامعتبر
فماك,ماداكتو استيل كرد,[warrant_rights] د
طجهش1029,اختيارف جهش-16000-1404/10/10,[sector] نوع صنعت نامعتبر
طفرابورس1103,اختيارف فرابورس-3400-14041105,[sector] نوع صنعت نامعتبر
كگل,معدني و صنعتي گل گهر,[warrant_rights] د
نارنج اهرم,ص.س. اهرمي نارنج-س,[investment] ص.س.
ضموج1038,اختيارخ موج-34000-14041021,[sector] نوع صنعت نامعتبر
طصاد1169,اختيارف وبصادر-700-1404/11/21,[warrant_rights] د
ضجهش1107,اختيارخ جهش-15000-1404/11/14,[sector] نوع صنعت نامعتبر
