symbol,name,reason
آسا,صندوق س آرمان كارآفرين-ثابت,blacklist_name
دزاگرس,دارويي و نهاده هاي زاگرس دارو,no_signals_or_low_gain
ضملت9031,اختيارخ وبملت-1200-1404/09/19,no_signals_or_low_gain
ومپنا2,مديريت نيروگاهي ايرانيان مپنا,no_signals_or_low_gain
خودران,صندوق س صنايع مفيد2-بخشي,blacklist_name
ضخود1309,اختيارخ خودرو-550-1404/10/03,no_signals_or_low_gain
سصوفي,سيمان‌ صوفيان‌,no_signals_or_low_gain
مشهد52,مشاركت ش مشهد52-3ماهه18%,no_signals_or_low_gain
وخارزم,سرمايه گذاري خوارزمي,no_signals_or_low_gain
آردينه,نشاسته و گلوكز آردينه,no_signals_or_low_gain
ونوين,بانك‌اقتصادنوين‌,no_signals_or_low_gain
سكه0411پ05,تمام سكه طرح جديد0411 آينده,no_signals_or_low_gain
آفاق,صندوق س نوع دوم افق آتي-ثابت,blacklist_name
شپلي,پلي اكريل ايران,no_signals_or_low_gain
وپترو2,سرمايه‌گذاري صنايع پتروشيمي‌,no_signals_or_low_gain
اوان,مبين وان كيش,no_signals_or_low_gain
ومعادن,توسعه‌معادن‌وفلزات‌,no_signals_or_low_gain
مهرمام,مهرمام ميهن,no_signals_or_low_gain
خبهمن,گروه‌بهمن‌,no_signals_or_low_gain
ثبهساز,بهساز كاشانه تهران,no_signals_or_low_gain
ومعادن2,توسعه‌معادن‌وفلزات‌,no_signals_or_low_gain
ختراك,ريخته‌گري‌ تراكتورسازي‌ ايران‌,no_signals_or_low_gain
نيلي,صندوق س. نوع دوم نيلي دماوند-د,blacklist_name
آلا,صندوق س.اعتماد ارغوان-د,blacklist_name
ضخود1308,اختيارخ خودرو-500-1404/10/03,no_signals_or_low_gain
ومپنا,مديريت نيروگاهي ايرانيان مپنا,no_signals_or_low_gain
وپاسار,بانك  پاسارگاد,no_signals_or_low_gain
بترانس,ايران‌ ترانسفو,no_signals_or_low_gain
شاراك,پتروشيمي شازند,no_signals_or_low_gain
آرام,صندوق س شاخصي آرام مفيد,blacklist_name
خاتم,صندوق س خاتم ايساتيس پويا-ثابت,blacklist_name
