,,,,,,,,,,,,,,,,,,,,,,
دیده بان بازار : 1404/09/19 - زمان آخرین معامله : 16:50:47,,,,,,,,,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد
ضخود0155,اختيارخ خودرو-900-1405/01/11,5,1246,34429000,14,31,28,14.00,100.00,28,14.00,100.00,6,31,,,1,666,6,28,800,1
طسپا1134,اختيارف خساپا-360-1404/11/29,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
كازرو,پتروشيمي كازرون,6,42277,280027730,6550,6700,6530,-20.00,-0.31,6620,70.00,1.07,6530,6700,-141,-46.95,2,11859,6530,6680,5968,1
ضجار1236,اختيارخ وتجارت-600-1404/12/19,0,0,0,50,0,50,0,0,50,0,0,0,0,,,1,91,19,0,0,0
طوتعاون1100,اختيارف وتعاون-1300-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضهرم1028,اختيارخ اهرم-34000-1404/10/24,226,25762,11165771000,440,437,381,-59.00,-13.41,433,-7.00,-1.59,336,475,,,1,200,382,426,310,1
طهرم0132,اختيارف اهرم-28000-1405/01/26,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,4,500,0,0,0
آواپارس,بيمه اتكايي آواي پارس,85,3272842,5695268061,1699,1749,1720,21.00,1.24,1740,41.00,2.41,1658,1749,514,3.39,1,23448,1715,1747,6214,2
وآتوس,توسعه س. كشاورزي آرين توسكا,124,11362022,19836160833,1785,1786,1732,-53.00,-2.97,1746,-39.00,-2.18,1732,1820,-11,-158.73,1,100000,1707,1750,690992,1
طهرم1126,اختيارف اهرم-34000-1404/11/29,253,3201,14811731000,4766,4900,4586,-180.00,-3.78,4627,-139.00,-2.92,4000,5000,,,1,186,4586,4700,12,1
طاساس1019,اختيارف آساس-50000-14041029,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضموج1113,اختيارخ موج-26000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,5,2,0,0,0
طشنا1228,اختيارف شپنا-3750-1404/12/19,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
كپشير4,پشم‌شيشه‌ايران‌,47,1324177,14446771070,10730,10910,10910,180.00,1.68,10910,180.00,1.68,10910,10910,838,13.02,1,2409,10910,0,0,0
ثاخت,بين‌المللي‌توسعه‌ساختمان,1796,228879087,1.31643E+11,564,573,576,12.00,2.13,575,11.00,1.95,567,580,156,3.69,1,52621,568,576,2913325,10
اكتوور073,مرابحه اكتوور كو-كارون070612,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,990000,0,0,0
صفروس67,صكوك مرابحه فروس67-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,750,1000000,0,0,0
خنصير,مهندسي‌نصيرماشين‌,275,8148435,25185495144,3009,3080,3099,90.00,2.99,3091,82.00,2.73,3010,3099,378,8.18,9,563762,3099,0,0,0
كامياب2,صندوق س. كامياب آشنا-د,3,23000000,23000000,30167,1,1,"-30,166.00",-100.00,1,"-30,166.00",-100.00,1,1,,,0,0,0,0,0,0
آوا,صندوق س.سهام آواي معيار-س,16,18021,407893304,22460,22480,22720,260.00,1.16,22634,174.00,0.77,22480,22900,,,2,186604,22720,22721,300,1
وبهمن,سرمايه‌گذاري‌بهمن‌,329,23556949,45875210357,1898,1945,1950,52.00,2.74,1947,49.00,2.58,1901,1954,527,3.69,1,5000,1930,1953,603407,4
اراد1624,مرابحه عام دولت162-ش.خ050329,2,70427034,6.70991E+13,950700,952647,952847,"2,147.00",0.23,952747,"2,047.00",0.22,952647,952847,,,0,0,0,0,0,0
طستا0142,اختيارف شستا-1900-1405/01/11,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,66,0,0,0
ضفرابورس1101,اختيارخ فرابورس-3000-14041105,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,28,980,1410,53,1
عكيمياتك,سلف موازي آريان كيمياتك,0,0,0,1423026,0,1423026,0,0,1423026,0,0,0,0,,,1,20000,1457130,1485981,20000,1
كيان4,صندوق س. با درآمد ثابت كيان,2,14986807,1.29951E+12,86591,86711,86707,116.00,0.13,86710,119.00,0.14,86707,86711,,,0,0,0,0,0,0
طذوب0130,اختيارف ذوب-500-1405/01/19,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
صمپنا607,صكوك اجاره مپنا607-3ماهه23%,0,0,0,873000,0,873000,0,0,873000,0,0,0,0,,,1,6250,825541,0,0,0
ضخود2071,اختيارخ خودرو-700-1405/02/02,0,0,0,1,0,1,0,0,1,0,0,0,0,,,2,1003,34,0,0,0
ضخود1303,اختيارخ خودرو-340-1404/10/03,12,2657,678378000,253,250,260,7.00,2.77,255,2.00,0.79,250,260,,,1,10,253,271,2,1
پتروآبان,صندوق س. بخشي پتروآبان-ب,30,122587,2166398947,17165,17230,17590,425.00,2.48,17672,507.00,2.95,17230,17677,,,2,16500,17511,17667,14000,3
طجهش1024,اختيارف جهش-11000-1404/10/10,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,2,0,0,0
ضفلا0126,اختيارخ فولاد-2400-1405/01/19,0,0,0,1284,0,1284,0,0,1284,0,0,0,0,,,1,11,111,0,0,0
طپناه908,اختيارف پناه-17000-14040923,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضپادا1024,اختيارخ پادا-250000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,3,3000,1,0,0,0
طهرم9012,اختيارف اهرم-13000-1404/09/26,15,6309,18927000,3,3,3,0,0,3,0,0,3,3,,,2,2000,4,40,250,1
طستا1243,اختيارف شستا-1710-1404/12/13,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,33,33,0,0,0
طموج1121,اختيارف موج-42000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضسپا1253,اختيارخ خساپا-800-1404/12/26,5,746,12437000,10,17,17,7.00,70.00,17,7.00,70.00,16,17,,,1,100,11,20,1155,2
خكمك,كمك‌فنرايندامين‌,424,18089966,42831595220,2302,2333,2371,69.00,3.00,2368,66.00,2.87,2298,2371,23,102.96,8,1970128,2371,2406,2200,1
ضموج905,اختيارخ موج-15000-14040923,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
خبازرس,بازرسي مهندسي و صنعتي ايران,20,282730,3740517900,12850,13230,13230,380.00,2.96,13230,380.00,2.96,13230,13230,1962,6.74,50,2611689,13230,0,0,0
پرديس صنعت082,مراحبه پرديس صنعت كوروش080817,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
وهامون,سرمايه گذاري هامون صبا,614,18748287,26739805038,1387,1400,1428,41.00,2.96,1426,39.00,2.81,1399,1428,278,5.13,13,1057281,1428,1446,483,3
ضجهش1213,اختيارخ جهش-8000-1404/12/13,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,41,0,0,0
آلا,صندوق س.اعتماد ارغوان-د,102,12176555,2.38515E+11,19564,19588,19588,24.00,0.12,19588,24.00,0.12,19588,19589,,,1,90620628,19588,19589,550000,2
طبيعت067,مرابحه طبيعت سبز-سپهر060920,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,990000,1000000,5000,1
ضخود1244,اختيارخ خودرو-340-1404/12/06,0,0,0,242,0,242,0,0,242,0,0,0,0,,,1,1,139,295,100,1
طهرم1022,اختيارف اهرم-20000-1404/10/24,49,3324,182026000,77,70,40,-37.00,-48.05,55,-22.00,-28.57,40,74,,,1,150,30,63,15,1
طبيعت065,مرابحه طبيعت سبز-آگاه060920,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
كنور,توسعه معدني و صنعتي صبانور,370,14311260,41993919298,2915,2928,2930,15.00,0.51,2925,10.00,0.34,2916,2975,422,6.93,1,2293,2919,2931,213823,3
بنيرو,نيروترانس‌,1070,26170413,1.05424E+11,4078,3966,4018,-60.00,-1.47,4028,-50.00,-1.23,3965,4100,878,4.59,2,255533,4018,4035,61887,1
طخود0154,اختيارف خودرو-800-1405/01/11,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,33,33,0,0,0
غشهد,شهد ايران ‌,289,2542024,16692367460,6520,6640,6580,60.00,0.92,6570,50.00,0.77,6430,6690,1560,4.21,2,3900,6460,6610,96651,3
صفولا052,صكوك اجاره فولاد052-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,995000,0,0,0
اخزا301,اسناد خزانه-م1-س.قوا03-060615,180,298435,1.72719E+11,580080,576000,578110,"-1,970.00",-0.34,578750,"-1,330.00",-0.23,576000,581400,,,1,201,577100,578110,11232,1
صپاك511,صكوك مرابحه صپاك511-3ماهه18%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,4500,1000000,1010000,4000,1
طفلا0126,اختيارف فولاد-2400-1405/01/19,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضخود2064,اختيارخ خودرو-380-1405/02/02,2,216,59400000,232,275,275,43.00,18.53,275,43.00,18.53,275,275,,,1,1000,163,299,350,1
مزه,صندوق س صنايع دايا3-بخشي,31,395484,4672148740,11680,11850,11850,170.00,1.46,11810,130.00,1.11,11770,11850,,,9,252530,11800,11850,320099,6
گلرنگ فرش06,مرابحه گلرنگ فرش بيدگل060224,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
ضخود1146,اختيارخ خودرو-320-1404/11/01,0,0,0,250,0,250,0,0,250,0,0,0,0,,,1,100,1,0,0,0
ضموج1118,اختيارخ موج-36000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,5,2,0,0,0
درين,صندوق س. درين بها بازار-د,1096,123213443,2.5347E+12,20544,20571,20572,28.00,0.14,20572,28.00,0.14,20571,20572,,,1,497588245,20571,20572,5450506,2
ضملت1211,اختيارخ وبملت-1900-1404/12/19,0,0,0,50,0,50,0,0,50,0,0,0,0,,,1,100,1,0,0,0
ضسپا1251,اختيارخ خساپا-700-1404/12/26,3,14,596000,22,50,40,18.00,81.82,43,21.00,95.45,40,50,,,2,2000,6,50,20,1
طتاص1102,اختيارف تاصيكو-7000-04/11/01,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضسپا0123,اختيارخ خساپا-750-1405/01/26,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,2,2,0,0,0
ضوتعاون1102,اختيارخ وتعاون-1500-14041126,0,0,0,583,0,600,17.00,2.92,583,0,0,0,0,,,1,22,2,0,0,0
طسپا0118,اختيارف خساپا-500-1405/01/26,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
بانكدار,صندوق س صنايع اعتبار1-بخشي,30,678777,9439048350,13780,13570,13950,170.00,1.23,13910,130.00,0.94,13570,14080,,,1,100,13690,13950,27725,1
ضستر1026,اختيارخ خگستر-2200-1404/10/03,1,1,2000000,1815,2000,2000,185.00,10.19,2000,185.00,10.19,2000,2000,,,1,10,870,0,0,0
هامون,صندوق س. سهام ثروت هامون-س,17,2711607,39334770140,14284,14330,14520,236.00,1.65,14506,222.00,1.55,14330,14520,,,1,6325,14220,14550,2500,1
ضفلا0135,اختيارخ فولاد-5000-1405/01/19,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طملت1203,اختيارف وبملت-1100-1404/12/19,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طهرم0128,اختيارف اهرم-20000-1405/01/26,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,1,100,0,0,0
ضملي0129,اختيارخ فملي-10000-1405/01/11,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,1000,200,0,0,0
اپرداز,آتيه داده پرداز,401,9986994,33930617790,3358,3280,3390,32.00,0.95,3397,39.00,1.16,3280,3457,127,26.75,1,3000,3358,3390,14253,1
ضپادا1017,اختيارخ پادا-180000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,12,11,0,0,0
طستا0137,اختيارف شستا-1400-1405/01/11,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,12,0,0,0
ضتيام1007,اختيارخ تيام-16000-14041029,1,40,66000000,1034,1650,1650,616.00,59.57,1650,616.00,59.57,1650,1650,,,1,1,1001,1650,5,1
ضطعام1005,اختيارخ طعام-10000-14041015,1,250,977250000,3000,3909,3909,909.00,30.30,3909,909.00,30.30,3909,3909,,,1,20,700,3919,250,1
ضملت1206,اختيارخ وبملت-1400-1404/12/19,0,0,0,137,0,130,-7.00,-5.11,137,0,0,0,0,,,1,33,33,216,5,1
ساذري,آذريت‌,3,5746,220933700,39600,38450,38450,"-1,150.00",-2.90,39600,0,0,38450,38450,-93,-425.81,0,0,0,38450,459100,32
قم512,مشاركت ش قم512-3ماهه18%,0,0,0,824800,0,824800,0,0,824800,0,0,0,0,,,1,7500,857375,0,0,0
ضخود0146,اختيارخ خودرو-400-1405/01/11,3,10,2242000,241,253,221,-20.00,-8.30,224,-17.00,-7.05,221,253,,,1,100,222,252,5,1
ضذوب1010,اختيارخ ذوب-220-1404/10/17,24,196,32348000,190,138,195,5.00,2.63,165,-25.00,-13.16,96,195,,,1,1,182,260,1,1
طستا1138,اختيارف شستا-1010-1404/11/08,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
سدبير,س. تدبيرگران فارس وخوزستان,3242,14031882,4.84786E+11,35400,34350,34350,"-1,050.00",-2.97,34550,-850.00,-2.40,34350,35700,-794,-43.51,0,0,0,34350,210164,13
چفيبر,توليد فيبر ايران‌,204,5628788,23991878363,4171,4122,4296,125.00,3.00,4262,91.00,2.18,4104,4296,-81,-52.62,16,2488007,4296,4300,6000,1
طفلا1410,اختيارف فولاد-3250-1404/11/08,0,0,0,45,0,45,0,0,45,0,0,0,0,,,2,352,35,0,0,0
طذوب1017,اختيارف ذوب-360-1404/10/17,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضخود1249,اختيارخ خودرو-500-1404/12/06,20,9316,1142753000,121,124,122,1.00,0.83,123,2.00,1.65,122,124,,,4,771,122,170,1005,2
ضهرم0126,اختيارخ اهرم-16000-1405/01/26,2,3,44100000,15185,15300,14400,-785.00,-5.17,14700,-485.00,-3.19,14400,15300,,,1,3,14400,15519,100,1
فجوش,جوش‌ و اكسيژن‌ ايران‌,106,8959190,19473869123,2111,2111,2174,63.00,2.98,2174,63.00,2.98,2111,2174,-7,-310.57,5,546650,2174,0,0,0
طفصبا1135,اختيارف فصبا-2400-14041105,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
گهردانه06,مرابحه گهردانه شرق 060715,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
زمرد,صندوق س.كالاي زمرد بيدار,4225,62511502,1.11724E+12,18021,17511,18038,17.00,0.09,17872,-149.00,-0.83,17511,18100,,,4,123107,18032,18037,550,1
ضرويين910,اختيارخ رويين-16000-14040930,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضذوب1219,اختيارخ ذوب-450-1404/12/19,36,12224,508475000,30,40,42,12.00,40.00,42,12.00,40.00,37,45,,,1,1000,40,42,642,2
ضهمن1136,اختيارخ خبهمن-2000-1404/11/29,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
بفجر2,فجر انرژي خليج فارس,2,10500000,1.5078E+11,14320,14360,14360,40.00,0.28,14360,40.00,0.28,14360,14360,1628,8.82,0,0,0,0,0,0
طملي1408,اختيارف فملي-7500-1404/11/01,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,2,0,0,0
ضهرم1256,اختيارخ اهرم-34000-1404/12/26,2,6,18000000,1501,3000,3000,"1,499.00",99.87,3000,"1,499.00",99.87,3000,3000,,,1,13,1506,0,0,0
اراد228,مرابحه عام دولت228-ش.خ070521,0,0,0,805780,0,805940,160.00,0.02,805780,0,0,0,0,,,0,0,0,930570,160000,1
لخزر,پارس‌ خزر,228,3384269,17610037100,5080,5110,5230,150.00,2.95,5200,120.00,2.36,5090,5230,1282,4.06,1,10000,5160,5240,1000,1
ابتكار,صندوق س.پرتوابتكارهدف-س,30,969535,11985488608,12185,12390,12452,267.00,2.19,12362,177.00,1.45,12330,12550,,,1,12587,12340,12452,99162,1
شزنگ,تجهيزنيروي‌زنگان‌,42,56603,2748075650,48100,48550,48550,450.00,0.94,48550,450.00,0.94,48550,48550,1342,36.18,2,2205,48550,0,0,0
طجار1074,اختيارف وتجارت-450-1404/10/17,1,100,1000000,8,10,10,2.00,25.00,10,2.00,25.00,10,10,,,0,0,0,10,1000,1
البرز4,بيمه البرز,5,803000,1950487000,2423,2429,2429,6.00,0.25,2429,6.00,0.25,2429,2429,918,2.65,0,0,0,0,0,0
طهرم0136,اختيارف اهرم-42000-1405/01/26,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,51,0,0,0
طتاب1118,اختيارف شتاب-8000-1404/11/08,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
آواك,صنايع ارتباطي آوا,1441,7307463,57763999880,7700,7700,7930,230.00,2.99,7900,200.00,2.60,7590,7930,1073,7.36,1,800,7840,7930,594694,4
كتوكا,توليدي و خدمات صنايع نسوز توكا,254,4514179,18790169480,4085,4126,4139,54.00,1.32,4162,77.00,1.88,4116,4200,323,12.89,2,7951,4139,4179,100000,1
ضفصبا1137,اختيارخ فصبا-2800-14041105,6,319,46530000,110,147,146,36.00,32.73,146,36.00,32.73,101,147,,,2,712,101,149,1000,1
طبساما1119,اختيارف بساما-8500-14041105,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طذوب9023,اختيارف ذوب-260-1404/09/19,0,0,0,1,0,1,0,0,1,0,0,0,0,,,0,0,0,1,550,2
طملت9034,اختيارف وبملت-1500-1404/09/19,2,525,104475000,1,199,199,198.00,"19,800.00",199,198.00,"19,800.00",199,199,,,0,0,0,0,0,0
فيروزه,صندوق شاخص30 شركت فيروزه- سهام,346,30150566,5.51718E+11,17910,17990,18330,420.00,2.35,18300,390.00,2.18,17810,18350,,,1,4064,18290,18340,1000,1
رايكا,صندوق س نوع دوم رايكا- ثابت,27,1949791,42532956671,21786,21815,21814,28.00,0.13,21814,28.00,0.13,21814,21815,,,2,777452,21814,21815,384433,2
سيمانيا,صندوق س.بخشي صنايع داريا-ب,18,37735,765572884,20022,20329,20293,271.00,1.35,20288,266.00,1.33,20127,20329,,,1,2924,20293,20298,210,1
ضهرم1026,اختيارخ اهرم-28000-1404/10/24,1352,70842,2.06276E+11,2878,2630,2919,41.00,1.42,2912,34.00,1.18,2573,3045,,,1,422,2900,2928,1,1
بالين تك08,مرابحه بالين تك080716,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
ددام,داروسازي زاگرس فارمد پارس,331,6968935,45749883630,6430,6310,6620,190.00,2.95,6560,130.00,2.02,6300,6620,869,7.55,3,353547,6620,6750,1000,1
ضتيام1218,اختيارخ تيام-16000-14041224,2,9,18441000,1830,2049,2049,219.00,11.97,2049,219.00,11.97,2049,2049,,,1,1,2022,2252,66,1
صكوثر701,صكوك مرابحه دكوثر701-3ماهه23%,0,0,0,935321,0,935321,0,0,935321,0,0,0,0,,,1,3000,888555,0,0,0
دتوزيع,توزيع دارو پخش,205,20106214,49171418084,2376,2430,2447,71.00,2.99,2446,70.00,2.95,2397,2447,331,7.39,17,1395361,2447,2460,1616,1
ضستا1047,اختيارخ شستا-910-1404/10/10,0,0,0,570,0,570,0,0,570,0,0,0,0,,,3,110,457,0,0,0
ولانا,شركت ليزينگ آريا دانا,69,332653,10671968600,31200,32100,32100,900.00,2.88,32100,900.00,2.88,31550,32100,258,124.42,1,3068,32000,0,0,0
طتوان1227,اختيارف توان-22000-14041224,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طجهش1105,اختيارف جهش-13000-1404/11/14,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
رمپنا,گروه مپنا (سهامي عام),1270,37062174,5.43528E+11,14280,14450,14700,420.00,2.94,14670,390.00,2.73,14250,14700,4371,3.36,7,24506,14700,0,0,0
ضموج1114,اختيارخ موج-28000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,1000,200,0,0,0
سخزر,سيمان‌ خزر,1010,15247813,65944938976,4284,4310,4319,35.00,0.82,4325,41.00,0.96,4267,4396,737,5.87,1,31239,4319,4325,72483,4
ضستر1033,اختيارخ خگستر-3750-1404/10/03,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,111,0,0,0
صمپنا62,صكوك اجاره مپنا62-3ماهه23%,0,0,0,811880,0,811880,0,0,811880,0,0,0,0,,,1,3750,773889,0,0,0
دانيك,ص.س.املاك ومستغلات نيك راي,116,2407109,25825872461,10417,10729,10729,312.00,3.00,10729,312.00,3.00,10729,10729,,,155,23344928,10729,10748,12000,1
ضستر1224,اختيارخ خگستر-2600-1404/12/06,3,30,52010000,1810,1737,1732,-78.00,-4.31,1734,-76.00,-4.20,1732,1737,,,1,33,33,1784,100,1
طهمن9025,اختيارف خبهمن-2400-1404/09/26,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
اكتوور074,مرابحه اكتوور كو-تاك070612,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
طملي1402,اختيارف فملي-4500-1404/11/01,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
وتوس,توسعه‌شهري‌توس‌گستر,66,1385497,12857412160,9010,9280,9280,270.00,3.00,9230,220.00,2.44,9280,9280,736,12.54,34,2900289,9280,9300,547,1
ضموج1022,اختيارخ موج-11000-14041021,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,4,110,0,0,0
صنوين,صندوق سرمايه‌گذاري صنوين-مختلط,8,549,185203510,336180,336560,337560,"1,380.00",0.41,337350,"1,170.00",0.35,336560,337570,,,6,637,336580,337560,65,2
طفلا1222,اختيارف فولاد-3500-1404/12/13,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طهمن9022,اختيارف خبهمن-1900-1404/09/26,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,111,11,0,0,0
ضصاد9031,اختيارخ وبصادر-600-1404/09/19,468,228800,228800000,1,1,1,0,0,1,0,0,1,1,,,0,0,0,1,475172,487
تابان26,اجاره تابان فردا ملت14070705,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,20000,990000,1000000,20000,1
ثباغ,شهر سازي و خانه سازي باغميشه,78,2095694,17580464150,8150,8380,8390,240.00,2.94,8390,240.00,2.94,8340,8390,1156,7.26,23,374594,8390,8650,18,1
داريك2,صندوق س.اعتماد داريك-د,13,13627000,13627000,31830,1,1,"-31,829.00",-100.00,1,"-31,829.00",-100.00,1,1,,,0,0,0,0,0,0
طتوان1224,اختيارف توان-18000-14041224,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ددانا,داروسازي دانا,444,3318286,45954855610,13490,13120,13890,400.00,2.97,13850,360.00,2.67,13120,13890,0,,6,157141,13890,14060,222,1
صفولا51,صكوك اجاره فولاد51-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,8000,990000,1000000,8000,1
فروژ,صنايع فروآلياژ ايران,457,26688233,25790441594,943,965,971,28.00,2.97,966,23.00,2.44,943,971,-71,-13.61,15,798180,971,0,0,0
ضصاد1161,اختيارخ وبصادر-360-1404/11/21,7,210,53476000,205,250,261,56.00,27.32,255,50.00,24.39,250,261,,,1,5,242,278,129,1
ضفزر1002,اختيارخ فزر-48000-14041007,0,0,0,52182,0,50000,"-2,182.00",-4.18,52182,0,0,0,0,,,1,5,20002,51000,1,1
ضشنا1228,اختيارخ شپنا-3750-1404/12/19,0,0,0,2200,0,2200,0,0,2200,0,0,0,0,,,1,100,1,2250,5,1
آرمان موتور082,مرابحه آرمان موتور-كيميا080407,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
فاران05,مرابحه فاران شيمي 14050730,0,0,0,880390,0,880390,0,0,880390,0,0,0,0,,,1,5000,857380,0,0,0
ضفزر1219,اختيارخ فزر-90000-14041210,17,101,1769143000,19734,17513,17840,"-1,894.00",-9.60,17516,"-2,218.00",-11.24,17100,17840,,,1,9,17840,25000,16,1
طسپا9017,اختيارف خساپا-700-1404/09/26,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,66,0,0,0
طهرم0135,اختيارف اهرم-38000-1405/01/26,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,1,1400,0,0,0
ضهمن1138,اختيارخ خبهمن-2400-1404/11/29,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طهرم1258,اختيارف اهرم-42000-1404/12/26,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,2,2000,0,0,0
طخاور902,اختيارف خاور-750-14040930,0,0,0,1,0,1,0,0,1,0,0,0,0,,,0,0,0,1,50,1
ديبا,صندوق س اوراق دولتي صبا-ثابت,63,39078837,8.1108E+11,20732,20755,20755,23.00,0.11,20755,23.00,0.11,20754,20755,,,1,39037562,20754,20755,7995000,1
بهين رو2,صندوق س صنايع ويستا1-بخشي,6,4100000,4100000,13730,1,1,"-13,729.00",-99.99,1,"-13,729.00",-99.99,1,1,,,0,0,0,0,0,0
ضملت1183,اختيارخ وبملت-1000-1404/11/21,1,25,11100000,398,444,444,46.00,11.56,444,46.00,11.56,444,444,,,1,99,259,0,0,0
سآبيك,سيمان آبيك,941,1671381,83485706630,49500,49970,49910,410.00,0.83,49950,450.00,0.91,49880,50470,9050,5.52,1,1409,49910,49920,17125,2
طموج1119,اختيارف موج-38000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
بگيلان,توسعه مسير برق گيلان,965,1480008,21208837530,14170,14310,14240,70.00,0.49,14310,140.00,0.99,14240,14520,1580,9.06,3,2219,14230,14240,450,1
داريك,صندوق س.اعتماد داريك-د,382,30978086,9.87311E+11,31830,31871,31872,42.00,0.13,31871,41.00,0.13,31871,31872,,,18,102469069,31871,31872,3317745,5
كلور082,مرابحه كلور-برنا14080208,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1005000,5000,1
طخود1251,اختيارف خودرو-600-1404/12/06,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,1000,20,0,0,0
طموج1228,اختيارف موج-36000-14041224,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضتاص0107,اختيارخ تاصيكو-11000-05/01/11,1,60,150300000,1,2505,2505,"2,504.00","250,400.00",2505,"2,504.00","250,400.00",2505,2505,,,1,100,2280,3310,36,1
ضموج1223,اختيارخ موج-26000-14041224,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,1000,20,0,0,0
