,,,,,,,,,,,,,,,,,,,,,,
دیده بان بازار : 1404/09/19 - زمان آخرین معامله : 16:50:47,,,,,,,,,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد
حريل,ريل پردازسير,354,16300712,36651189287,2240,2259,2243,3.00,0.13,2248,8.00,0.36,2207,2265,372,6.04,1,141031,2238,2243,169459,2
بخاور,بيمه زندگي خاورميانه,125,4300488,19876645148,4489,4600,4623,134.00,2.99,4622,133.00,2.96,4536,4623,808,5.72,4,448728,4623,0,0,0
ضخود1241,اختيارخ خودرو-280-1404/12/06,7,90,28860000,332,344,344,12.00,3.61,321,-11.00,-3.31,302,344,,,1,1000,277,349,25,1
طتوان1106,اختيارف توان-28000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضتيام1008,اختيارخ تيام-17000-14041029,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,11,1085,100,1
دسبحان,سبحان دارو,381,53672074,1.72878E+11,3128,3221,3221,93.00,2.97,3221,93.00,2.97,3221,3221,0,,110,22581339,3221,0,0,0
ضملت0123,اختيارخ وبملت-800-1405/01/19,4,465,310650000,621,671,658,37.00,5.96,668,47.00,7.57,658,671,,,3,2220,610,662,350,1
ضموج1036,اختيارخ موج-30000-14041021,75,3253,11699920000,3464,3351,3121,-343.00,-9.90,3597,133.00,3.84,3111,4000,,,1,5,3100,3135,100,1
ثشرق,سرمايه گذاري مسكن شمال شرق,289,1996421,94860463250,47310,47600,47590,280.00,0.59,47520,210.00,0.44,47240,47890,1550,30.66,2,162806,47590,47600,30109,4
داروك073,مرابحه داروك-هامرز070904,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,999000,1008000,5000,1
ضذوب1216,اختيارخ ذوب-360-1404/12/19,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,1000,30,0,0,0
ضفزر1220,اختيارخ فزر-95000-14041210,15,151,2348020000,13961,15555,15545,"1,584.00",11.35,15550,"1,589.00",11.38,15545,15555,,,1,1,13000,15550,1,1
ضملي1413,اختيارخ فملي-12000-1404/11/01,8,2109,225321000,150,999,150,0,0,107,-43.00,-28.67,33,999,,,1,900,50,144,1000,1
ضجهش1021,اختيارخ جهش-8000-1404/10/10,0,0,0,5890,0,5890,0,0,5890,0,0,0,0,,,1,100,1,0,0,0
خعمرا,توسعه و عمران شهرستان نائين,76,1298677,6241330728,4946,4800,4798,-148.00,-2.99,4806,-140.00,-2.83,4798,4890,246,19.54,1,5000,4798,4827,106207,3
ريشمك,توليد و صادرات ريشمك,465,6118900,52587500930,8520,8580,8590,70.00,0.82,8590,70.00,0.82,8340,8770,1511,5.68,1,731,8590,8620,99100,2
طجهش1221,اختيارف جهش-16000-1404/12/13,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,12,21,0,0,0
صرازي708,صكوك مرابحه كرازي708-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,4375,1000000,0,0,0
ضپناه901,اختيارخ پناه-10000-14040923,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طخود1245,اختيارف خودرو-360-1404/12/06,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ومعلم,بيمه معلم,240,4890147,14812899878,3079,3018,3030,-49.00,-1.59,3029,-50.00,-1.62,2987,3090,-35,-86.54,1,1954,3030,3088,2400,1
ضرويين901,اختيارخ رويين-8500-14040930,0,0,0,5004,0,5004,0,0,5004,0,0,0,0,,,1,100,1,0,0,0
صپترو707,صكوك اجاره پترول707-6ماهه23%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,7500,995000,0,0,0
پكوير,كوير تاير,602,10003076,68949883780,6760,6760,6950,190.00,2.81,6890,130.00,1.92,6680,6960,1132,6.09,1,16221,6950,0,0,0
ضتيام1006,اختيارخ تيام-15000-14041029,0,0,0,1885,0,1890,5.00,0.27,1885,0,0,0,0,,,1,100,2000,2720,100,1
ضتيام1009,اختيارخ تيام-18000-14041029,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,570,500,1
ضتوان901,اختيارخ توان-10000-14040923,1,147,26687850,17384,18155,18155,771.00,4.44,18155,771.00,4.44,18155,18155,,,1,2,12535,0,0,0
ضتوان904,اختيارخ توان-13000-14040923,0,0,0,14180,0,14180,0,0,14180,0,0,0,0,,,1,300,1002,0,0,0
ضتوان906,اختيارخ توان-15000-14040923,0,0,0,12000,0,12000,0,0,12000,0,0,0,0,,,1,100,102,0,0,0
ضتوان912,اختيارخ توان-22000-14040923,160,318893,19367114150,5406,5283,6322,916.00,16.94,6073,667.00,12.34,5200,6343,,,1,10,5501,6322,5486,2
ضتوان1015,اختيارخ توان-18000-14041021,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,1,22,0,0,0
ضتوان1017,اختيارخ توان-20000-14041021,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,1,8000,0,0,0
ضتوان1018,اختيارخ توان-22000-14041021,1,1,6800000,6000,6800,6800,800.00,13.33,6800,800.00,13.33,6800,6800,,,2,912,5,0,0,0
ضتوان1019,اختيارخ توان-24000-14041021,107,2210,10728447000,4120,4283,4967,847.00,20.56,4855,735.00,17.84,4283,5181,,,1,100,3000,5060,28,1
ضتوان1022,اختيارخ توان-30000-14041021,34,3791,4726984000,771,800,1200,429.00,55.64,1247,476.00,61.74,800,1401,,,1,152,1200,1400,85,1
ضتوان1102,اختيارخ توان-20000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضتوان1226,اختيارخ توان-20000-14041224,0,0,0,1,0,1,0,0,1,0,0,0,0,,,7,6100,1,0,0,0
ضتوان1230,اختيارخ توان-28000-14041224,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,111,0,0,0
ضتوان1233,اختيارخ توان-34000-14041224,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طبساما1120,اختيارف بساما-9000-14041105,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طبساما1122,اختيارف بساما-10000-14041105,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,11,0,0,0
طفرابورس1106,اختيارف فرابورس-4000-14041105,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طموج1021,اختيارف موج-10000-14041021,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طموج1023,اختيارف موج-12000-14041021,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طموج1030,اختيارف موج-19000-14041021,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طموج1033,اختيارف موج-24000-14041021,10,900,74500000,161,103,79,-82.00,-50.93,83,-78.00,-48.45,73,103,,,1,399,44,78,100,1
طموج913,اختيارف موج-26000-14040923,26,1302,8179000,12,30,2,-10.00,-83.33,6,-6.00,-50.00,2,30,,,2,1100,1,11,400,2
طموج914,اختيارف موج-28000-14040923,20,2933,24615000,6,20,8,2.00,33.33,8,2.00,33.33,1,20,,,2,197,1,6,500,1
طموج915,اختيارف موج-30000-14040923,537,52034,3699331000,145,250,57,-88.00,-60.69,71,-74.00,-51.03,22,250,,,1,411,47,57,423,1
طموج1034,اختيارف موج-26000-14041021,16,962,171022000,312,498,120,-192.00,-61.54,178,-134.00,-42.95,116,498,,,1,8,116,152,100,1
طموج1221,اختيارف موج-22000-14041224,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طموج1222,اختيارف موج-24000-14041224,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طموج1223,اختيارف موج-26000-14041224,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طموج1231,اختيارف موج-42000-14041224,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طموج1111,اختيارف موج-22000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طموج1115,اختيارف موج-30000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طموج1117,اختيارف موج-34000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طموج1118,اختيارف موج-36000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طپادا1015,اختيارف پادا-160000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,2,2000,1,0,0,0
طپادا1016,اختيارف پادا-170000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,2,2000,1,0,0,0
طپادا1017,اختيارف پادا-180000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,2,2000,1,0,0,0
طپادا1019,اختيارف پادا-200000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,2,2000,1,0,0,0
طپادا1020,اختيارف پادا-210000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,2,2000,1,0,0,0
طپادا1021,اختيارف پادا-220000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,2,2000,1,0,0,0
طپادا1023,اختيارف پادا-240000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,3,3000,1,0,0,0
طپادا1024,اختيارف پادا-250000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,3,3000,1,0,0,0
طپناه906,اختيارف پناه-15000-14040923,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طفزر1004,اختيارف فزر-55000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,1000,1,1
طفزر1010,اختيارف فزر-85000-14041007,60,3436,1244606000,274,600,235,-39.00,-14.23,362,88.00,32.12,200,600,,,1,39,200,499,2,1
طفزر1014,اختيارف فزر-110000-14041007,11,46,719400000,3550,13000,12000,"8,450.00",238.03,15639,"12,089.00",340.54,12000,15800,,,1,1,12000,0,0,0
طفزر1216,اختيارف فزر-75000-14041210,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,33,33,0,0,0
طامين شهر1200,اختيارف امين شهر-13632-041203,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طامين شهر1201,اختيارف امين شهر-15132-041203,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طرويين906,اختيارف رويين-12000-14040930,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طرويين908,اختيارف رويين-14000-14040930,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طاطلس100001,اختيارف اطلس-50000-14041021,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طاطلس1009,اختيارف اطلس-48000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طاطلس1014,اختيارف اطلس-70000-14041007,0,0,0,130,0,100,-30.00,-23.08,130,0,0,0,0,,,1,200,60,100,150,1
طاطلس1017,اختيارف اطلس-85000-14041007,1,2,10000000,1,5000,5000,"4,999.00","499,900.00",5000,"4,999.00","499,900.00",5000,5000,,,1,2,4000,4800,35,1
طاطلس1018,اختيارف اطلس-90000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طفصبا1134,اختيارف فصبا-2200-14041105,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طفصبا1137,اختيارف فصبا-2800-14041105,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,111,11,0,0,0
طفصبا1139,اختيارف فصبا-3200-14041105,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طفصبا1140,اختيارف فصبا-3400-14041105,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طاساس1013,اختيارف آساس-38000-14041029,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طاساس1017,اختيارف آساس-46000-14041029,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طاساس1023,اختيارف آساس-70000-14041029,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طكاريس1009,اختيارف كاريس-40000-14041015,1,35,13510000,617,386,386,-231.00,-37.44,386,-231.00,-37.44,386,386,,,1,111,11,0,0,0
ططعام1005,اختيارف طعام-10000-14041015,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ططعام1008,اختيارف طعام-13000-14041015,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,111,11,0,0,0
طوتعاون905,اختيارف وتعاون-1800-14040930,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طوتعاون906,اختيارف وتعاون-1900-14040930,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طوتعاون907,اختيارف وتعاون-2000-14040930,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طوتعاون1104,اختيارف وتعاون-1700-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طوتعاون1107,اختيارف وتعاون-2000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,22,2,0,0,0
